province,district,total_loss,mean_loss,max_loss,std_loss,trend_slope,pct_recent,mean_loss_scaled,max_loss_scaled,std_loss_scaled,trend_slope_scaled,pct_recent_scaled
Aceh,Aceh Barat,75214.5920154916,3008.583680619664,6502.938359406206,1653.9311341069742,85.67723186840223,44.268585648881256,-0.16165805030595373,-0.23337173055362112,-0.17747466549317484,0.46231055106505153,-0.09281710302047835
Aceh,Aceh Barat Daya,34174.823089093865,1366.9929235637546,7361.221654628653,1387.9321850024542,-11.770692239992275,34.43330821949583,-0.4360470323005334,-0.18288337332136295,-0.24583233313359096,-0.005850859238685368,-0.8591626376650555
Aceh,Aceh Besar,24288.740623818307,971.5496249527323,2241.289721854456,617.0129237169776,40.02582267444341,54.313160531509766,-0.5021446779385086,-0.48406242907795116,-0.4439468099687637,0.24299107036658418,0.6898364788405503
Aceh,Aceh Jaya,61741.71884183183,2469.6687536732734,4978.30362184902,1204.214226133254,61.92579378098737,47.756597023308586,-0.2517367240258906,-0.3230580890170547,-0.2930450428613341,0.34820338199516515,0.178961904818745
Aceh,Aceh Selatan,49234.247734291814,1969.3699093716725,4324.427557067588,1201.8482979751254,116.59096241787626,57.09264935145026,-0.3353607880570367,-0.36152222845454873,-0.2936530502660209,0.6108269594360818,0.9064087983352557
Aceh,Aceh Singkil,75113.28148237772,3004.5312592951086,9718.506750529888,2162.8704869860185,-121.14375542092377,23.563521088488777,-0.16233540533922164,-0.0442165104304879,-0.04668502421694549,-0.531303278841472,-1.7061151400414787
Aceh,Aceh Tamiang,58485.9120629899,2339.4364825195958,4290.108293057228,1004.0346699175535,70.58471980788394,48.97259255317391,-0.27350481704853097,-0.36354105285780614,-0.34448813170911,0.38980278041804467,0.27370989247345495
Aceh,Aceh Tengah,42744.7187301861,1709.788749207444,4685.784412072841,1193.1546635257828,107.82768066872646,69.13876736517457,-0.37874931834467934,-0.34026547781593586,-0.29588718155216337,0.568726213010663,1.8450186968255387
Aceh,Aceh Tenggara,30517.432056610454,1220.6972822644182,4295.9698408218,869.1995417585655,-7.6291322234436665,35.87188033249037,-0.46050008913813467,-0.3631962483869292,-0.37913870047253523,0.014046112358659718,-0.7470719190276993
Aceh,Aceh Timur,101812.78645091566,4072.5114580366267,10245.26891445576,2832.307459441506,203.15327918367925,55.43882584015609,0.01617558972059861,-0.013229822868505383,0.12535005420487758,1.026691501108203,0.7775461127557093
Aceh,Aceh Utara,64435.92452929741,2577.436981171896,5371.670319821567,1629.6725815918594,182.26165641088085,67.54811727289656,-0.23372345603713798,-0.29991836524395665,-0.1837087430180985,0.9263235182051744,1.7210783602004427
Aceh,Banda Aceh,53.68271968409285,2.5563199849568026,22.59138128752764,4.948478627975221,-0.23584287596755224,11.412075069823176,-0.6641101893589751,-0.6145769515353978,-0.6012380250384505,0.04956511185882299,-2.6529319901748964
Aceh,Bener Meriah,24497.588178862286,979.9035271544915,3170.5028480761302,720.4843577939357,68.27732941012854,68.0088725312815,-0.5007483380097105,-0.4294016375622265,-0.4173562316047466,0.37871756590354266,1.7569795065953917
Aceh,Bireuen,28739.07416681498,1149.562966672599,4040.914330867172,1027.9880295600522,92.98988232538309,63.41340069523397,-0.47239006375953524,-0.3781998419233822,-0.338332484091608,0.4974421434752742,1.3989093508295873
Aceh,Gayo Lues,33392.81822576672,1335.712729030669,2945.348458310752,732.3690190202583,38.84097192602033,54.826293982943916,-0.4412754613091852,-0.44264630319438153,-0.41430205516960333,0.23729878494894743,0.7298188313472953
Aceh,Langsa,5070.906636124242,202.83626544496968,629.5615648025121,190.37773664675774,4.7380752013098375,50.79476599697572,-0.6306337518775285,-0.5788720419499311,-0.5535855375638618,0.07346091593160406,0.4156900747338251
Aceh,Lhokseumawe,679.1718075315931,27.166872301263723,70.49954753704677,20.53666782700416,2.041198052742928,67.25720245786015,-0.659996579211397,-0.6117587624532939,-0.5972320984738142,0.06050452080219522,1.6984108481688027
Aceh,Nagan Raya,103377.69843704016,4135.107937481606,11472.990387042264,2794.463591104385,70.62723429434718,39.86843373790256,0.02663848018067667,0.058990667306124164,0.1156247579857557,0.3900070294271752,-0.43566831316138344
Aceh,Pidie,19332.096653999397,773.2838661599759,1521.3953704024177,406.0680471764887,26.081879136370503,52.02866673141383,-0.5352844476927523,-0.5264100821057025,-0.49815642173432506,0.17600127728778484,0.5118332008246156
Aceh,Pidie Jaya,11995.31525963411,479.8126103853644,1350.9431054574004,342.7760397501747,21.20899840641838,49.92998404812868,-0.5843376473227768,-0.5364369052904193,-0.5144215010607952,0.15259087900943125,0.3483079607367037
Aceh,Sabang,753.7349246041985,30.14939698416794,58.94008969201225,17.14611805464057,0.5888966925527637,50.462473608041634,-0.6594980555032204,-0.6124387454383291,-0.5981034179855557,0.053527343410336416,0.38979850326730187
Aceh,Simeulue,18230.845460060264,729.2338184024105,3274.303879042503,669.3540291179467,-15.495077292291814,34.19388864411084,-0.542647335007425,-0.4232955609769323,-0.4304959452229577,-0.023743629911349786,-0.8778177415825714
Aceh,Subulussalam,53164.354872174066,2126.5741948869627,6745.839410593981,1521.8161445913395,2.129081735718633,35.23882214219379,-0.3090843706964237,-0.21908312082216766,-0.2114262001666378,0.06092673347979754,-0.7963985720669391
Bangka Belitung,Bangka,140516.67211176953,5620.666884470781,12414.794732154149,2786.7746626295775,180.41346474678818,54.074740719084325,0.27494702200527993,0.11439213496090112,0.11364882079141246,0.9174443961110929,0.6712592744927467
Bangka Belitung,Bangka Barat,139917.7252342834,5596.709009371336,13263.683057877632,2692.3140594085567,157.72696639060084,49.237331021628954,0.27094250569630673,0.16432783483760985,0.08937388834587656,0.808453433374195,0.29433779489977663
Bangka Belitung,Bangka Selatan,169524.7252330775,6780.989009323101,20262.3332904436,4011.098210593515,238.69455431738905,56.69635937362334,0.4688928061512686,0.576022149584627,0.4282812750089985,1.197439658576212,0.8755306602133258
Bangka Belitung,Bangka Tengah,106992.0372878051,4279.681491512204,8888.070579099302,2258.5729525727966,170.37136537552306,54.77817750828176,0.050803693187198865,-0.0930667657193429,-0.022090952108868234,0.8691999265949202,0.7260696899768634
Bangka Belitung,Belitung,90753.51500718246,3630.1406002872986,11769.45437790982,2509.7271429546327,-17.221732501063357,35.05887286940448,-0.05776591415311814,0.07643010712831336,0.042451839245819904,-0.032038863956023955,-0.8104198666013062
Bangka Belitung,Belitung Timur,83262.46082122742,3330.498432849097,8207.1890956006,1734.1086766132264,92.3508045689502,51.37320128930644,-0.10785057071726166,-0.1331194939537923,-0.15687026152346537,0.494371872389637,0.4607606186550426
Bangka Belitung,Pangkalpinang,2563.994190316044,102.55976761264175,301.3002270763682,73.8459920585713,2.94339473583458,52.006147450062116,-0.6473947905468374,-0.5981819548620322,-0.5835324162749768,0.06483887348740708,0.5100785425720961
Bengkulu,Bengkulu,1907.843813809429,76.31375255237717,177.86274761158603,48.76698795032646,3.2457076812796277,59.553892626661884,-0.6517817653898952,-0.6054431419243439,-0.5899773373295725,0.06629125183397094,1.0981840489242245
Bengkulu,Bengkulu Selatan,38011.311885123236,1520.4524754049294,2681.7336239788083,653.9926007559452,25.319282339809032,50.1324446592311,-0.41039654052841734,-0.458153397415555,-0.43444359771552127,0.17233759337621982,0.36408329461759503
Bengkulu,Bengkulu Tengah,35488.862810323146,1419.5545124129258,4093.331087217688,743.4831993790277,62.28151244375369,58.36561437985307,-0.42726145599635923,-0.37511643585651333,-0.4114458805508011,0.3499123332361049,1.0055957376238769
Bengkulu,Bengkulu Utara,117295.32510146045,4691.813004058418,7430.930717404273,1620.1068563283902,126.60833607164498,50.45269365452126,0.11969074417075325,-0.17878275050447676,-0.18616698832508585,0.6589526411291193,0.38903646846318174
Bengkulu,Kaur,58365.59277369494,2334.6237109477975,4937.588235752757,1111.8816019622566,35.36107204352698,48.82066328456594,-0.2743092632763634,-0.3254531641274757,-0.316773117189058,0.22058057518091037,0.2618718617299936
Bengkulu,Kepahiang,6673.040973804303,266.9216389521721,507.29275709173857,124.72434814014235,8.852175156162879,57.51984013653756,-0.6199219954170327,-0.5860644821109201,-0.5704574557654591,0.09322596331067515,0.939694666776022
Bengkulu,Lebong,19044.310177909218,761.7724071163688,1838.0543515332115,428.2116375807046,35.98295369799748,62.83898244536592,-0.5372085676444949,-0.5077826756897466,-0.49246585717265035,0.22356823238410625,1.3541518069814076
Bengkulu,Mukomuko,135812.0790003651,5432.483160014604,9825.322597803412,1830.778126779818,-14.079023305070585,40.80130129242849,0.24349244639955228,-0.037933087829545596,-0.13202768914595914,-0.016940592927346836,-0.36298110225568936
Bengkulu,Rejang Lebong,26034.236468591276,1041.369458743651,2159.956485962441,555.5180466476598,46.25556499252905,60.038764079500936,-0.490474416617545,-0.48884684174382653,-0.4597500542388788,0.27292013223371747,1.1359642819097882
Bengkulu,Seluma,65441.23155517532,2617.6492622070127,4556.701629610574,1067.6741702859892,44.58133789117543,48.45596402436434,-0.22700204461990142,-0.34785874879041023,-0.32813375200335293,0.26487677442892116,0.23345521038992675
Jambi,Batang Hari,303373.56616221706,12134.942646488682,29923.1191399518,7543.341661439393,9.120073113469955,41.054446266107334,1.363796655867576,1.1443161031421165,1.3360138982047494,0.09451300443194996,-0.34325654221258517
Jambi,Bungo,170723.20490038584,6828.928196015434,12843.48450563402,2323.003337274508,81.34568976627762,45.564059564757194,0.4769057561375053,0.13960973216423245,-0.005533327207676876,0.44150086345113154,0.008123684650021059
Jambi,Jambi,2498.6723753416463,99.94689501366585,216.9374522327568,61.002611818402734,0.20412535026253636,42.99844412201202,-0.647831527565143,-0.6031445796004117,-0.5868329688553253,0.05167881666234038,-0.19178404060524848
Jambi,Kerinci,53630.68811161209,2145.227524464484,6044.761614818412,1908.5800693861156,190.81766139396052,80.30213192636523,-0.30596649975838025,-0.2603238934175927,-0.11203377807088093,0.9674284611384772,2.714846176985654
Jambi,Merangin,223885.78771605802,8955.431508642321,15788.607540372472,3853.941475417816,461.82229449964365,61.450488127231,0.832347011305294,0.31285605386071735,0.3878943941331192,2.2693947410202058,1.245963051938983
Jambi,Muaro Jambi,293852.9693880786,11754.118775523144,40671.12787199825,8803.090748380773,88.84172789740316,50.396570437441866,1.3001426216179728,1.7765657431148358,1.6597501749282324,0.47751349086487466,0.3846634574212989
Jambi,Sarolangun,260632.06784895662,10425.282713958264,25351.03890491837,5356.096960161509,176.00489206439482,46.70250693742677,1.07803003198303,0.8753643229014363,0.7739254131127827,0.8962646365287334,0.096829271933866
Jambi,Sungai Penuh,2743.265623937917,109.73062495751668,491.7317595672056,144.84631205898924,14.244311470995378,93.9380969763156,-0.6461961944665223,-0.5869798549327869,-0.5652864183366741,0.11913098042416456,3.7773338395479046
Jambi,Tanjung Jabung B,268994.83749851526,10759.79349994061,38038.1599837968,7515.211312343199,-402.43739840656986,30.793236246446014,1.1339429162615182,1.6216818905913801,1.3287848280877435,-1.8827002410092033,-1.1427899092249905
Jambi,Tanjung Jabung T,165998.31369222808,6639.932547689124,27250.735821660477,5117.61272134305,60.630427761585274,49.44414156518644,0.4453154688976657,0.9871136451816008,0.7126386058170737,0.34198015673868604,0.31045206698926275
Jambi,Tebo,335864.9592271845,13434.598369087378,39630.0488326184,8612.068925414853,-147.11628416096167,32.42241187191131,1.581031803625624,1.7153244597998631,1.6106604836706933,-0.6560810593364701,-1.015847738585567
Kepulauan Riau,Batam,32414.91509037172,1296.5966036148689,6190.706554431386,1234.2752022791617,-25.148576429152836,32.16626608012244,-0.44781365225981085,-0.2517387091451778,-0.28531983107667774,-0.07012117783378365,-1.03580611649252
Kepulauan Riau,Bintan,28446.012110404758,1137.8404844161903,4079.6132122007434,837.2586455257848,27.851628189801282,49.289523566087,-0.47434945586683125,-0.37592338733532943,-0.3873470230097777,0.1845035437066801,0.29840453563732394
Kepulauan Riau,Karimun,21304.851263559653,852.1940505423861,3334.87873823303,633.6227998914301,23.222713678893093,48.67324017427334,-0.5220947504014944,-0.4197322560085973,-0.4396783254544299,0.16226521317855414,0.2503849420078716
Kepulauan Riau,Kepulauan Anambas,4193.53558236789,167.74142329471562,356.615949222302,95.31146151526164,-0.509155499546248,43.99930144910693,-0.6364997924661944,-0.5949280176645939,-0.578016118440697,0.048252057481532315,-0.1137991999190188
Kepulauan Riau,Lingga,36593.60035190483,1463.7440140761933,3669.880855592008,913.4560963900011,23.459937986131646,42.503280400637735,-0.41987525920881313,-0.40002581797242504,-0.3677654418089573,0.1634048912912617,-0.23036622697646555
Kepulauan Riau,Natuna,31668.162600717747,1266.72650402871,4917.633899601701,1264.6432454613594,0.8126056243700192,48.54841320837026,-0.45280638640033555,-0.32662697428728543,-0.2775157077531575,0.05460209066611799,0.2406586695554808
Kepulauan Riau,Tanjungpinang,2524.663869028886,100.98655476115545,351.61298406930626,76.51142613980294,-2.3472186412991256,29.31040851548481,-0.6476577502832545,-0.595222316171009,-0.5828474404220433,0.03942159505204874,-1.2583289388485073
Lampung,Bandar Lampung,469.0058221927533,18.76023288771013,67.78872859951336,17.765471414169184,-0.4368192487990138,31.503505427611415,-0.6614017340715628,-0.6119182258794982,-0.5979442536307898,0.048599576851244504,-1.0874471271540451
Lampung,Lampung Barat,47581.58248023053,1903.2632992092213,3544.5367863593638,811.5012993194498,7.318259999175672,46.480263687160225,-0.346410390637718,-0.40739915982771824,-0.39396626762408604,0.08585669516307848,0.0795125135943602
Lampung,Lampung Selatan,21391.30347148837,855.6521388595347,3054.932710201231,682.8247125795847,-7.372479816371571,33.32709618929452,-0.5215167370757546,-0.43620002970021743,-0.427034185294733,0.015279127365927282,-0.9453565102631013
Lampung,Lampung Tengah,24024.121268764524,960.9648507505809,3299.593226767219,699.7509332289075,-21.554228508894447,34.91036255920385,-0.5039139041634294,-0.4218079197409866,-0.42268440508150323,-0.05285313434423008,-0.8219914988087414
Lampung,Lampung Timur,13649.27019806965,545.970807922786,2305.713004246096,517.887710497162,7.689610439970474,50.98370823219292,-0.5732794220039124,-0.48027274132150843,-0.46942047594705677,0.08764074492781258,0.43041208326932934
Lampung,Lampung Utara,28329.203269301306,1133.1681307720523,2640.218682969737,538.8510349526957,28.970582563174354,54.68919147004001,-0.47513043148723066,-0.46059550619689726,-0.46403322170942257,0.1898792483437658,0.7191360723395481
Lampung,Mesuji,39939.15594042633,1597.5662376170533,6815.342254691944,1458.9814707350704,68.22159087164727,48.06228280718276,-0.3975071120151231,-0.21499462878112607,-0.22757375174990754,0.378449785619638,0.20278034178284998
Lampung,Metro,34.63768181351047,1.3855072725404187,6.667138432519261,1.6077599448048097,-0.0587738026697276,30.530051155973553,-0.6643058886262166,-0.6155136921971259,-0.6020965387212792,0.050415790904423545,-1.1632967754844004
Lampung,Pesawaran,10851.069460633307,434.0427784253323,1067.0729475911269,231.2687411493966,-4.6503049463080215,37.05557926618518,-0.591987993515088,-0.5531355151989523,-0.5430771738854181,0.02835705835237669,-0.6548404188271763
Lampung,Pringsewu,6378.050663907173,255.1220265562869,588.032715791283,118.03567753036266,1.125847341024391,45.03345285559068,-0.6218942796902728,-0.5813149688669464,-0.5721763419642159,0.05610697325008924,-0.033220149841856575
Lampung,Tanggamus,26644.428704964586,1065.7771481985835,2423.322608441068,499.5626813168645,3.644860775991446,46.51022996699925,-0.48639471463725986,-0.47335437795175267,-0.47412972859044034,0.06820887170588864,0.08184742736872234
Lampung,Tulang Bawang Barat,12371.096645697675,494.843865827907,1367.1902978968965,329.8271661412215,-16.52118899526248,29.57657264732274,-0.5818251996489262,-0.5354811671786879,-0.5177491638258491,-0.02867329779691262,-1.2375899515264899
Lampung,Tulangbawang,26256.97877083776,1050.2791508335104,4199.630346428707,887.913578205978,17.500355252166656,47.762566229238416,-0.48898517739521524,-0.3688634014534852,-0.3743294789023395,0.1347737359015236,0.17942701364181
Lampung,Way Kanan,71097.42495888531,2843.8969983554125,8600.531983119488,2042.7790915824378,-37.32672564857958,32.279808173679704,-0.18918513700543965,-0.10998117082625833,-0.0775466788253857,-0.1286277039154926,-1.0269591391686437
Riau,Bengkalis,438313.2616175747,17532.530464702988,49669.00952616784,12379.032761848202,-880.1007925500743,17.806951104493756,2.2659938815161405,2.305864479112669,2.5787126613625566,-4.1775009799551555,-2.1546557870925755
Riau,Dumai,138984.9849995543,5559.399399982171,14537.680233171284,3894.499755597886,-203.19876661876395,22.90513375308793,0.2647062706938215,0.2392704847262378,0.398317252741958,-0.9255137262814763,-1.75741539040793
Riau,Indragiri Hilir,493644.5550714902,19745.782202859606,43606.535096108695,9576.347809591462,-325.05127177206515,33.62001187760276,2.63593498207379,1.9492405340352723,1.8584654306418007,-1.5109201490818023,-0.9225330941089537
Riau,Indragiri Hulu,402143.13074704906,16085.725229881962,39828.41066066496,9097.017024737794,-566.7057054631289,28.606579466675182,2.0241629539109303,1.7269930579089092,1.7352847391723318,-2.6718815704571557,-1.3131699184325578
